step,time,gps_x,gps_y,gps_z,gps_speed,gyro_x,gyro_y,gyro_z,imu_roll,imu_pitch,imu_yaw,imu_quat_x,imu_quat_y,imu_quat_z,imu_quat_w,radar_targets_count,roof_lidar_min_dist,roof_lidar_max_dist,roof_lidar_mean_dist,camera_red,camera_green,camera_blue,camera_gray,camera_recognition_objects,driver_speed,driver_steering_angle,driver_brake_intensity,collision_detected
87,4.360000,-80.512774,41.620799,0.317789,13.830779,0.012196,-0.002306,0.375088,0.012420,-0.004250,-2.744642,0.000859,0.006507,0.980345,-0.197184,1,12.944077,99.973289,40.093296,18,22,21,20.333333333333332,9,49.434067,-0.079474,0.000000,0
88,4.410000,-81.147898,41.349320,0.317464,13.804600,0.000967,0.003224,0.364038,0.012610,-0.004423,-2.726297,0.000864,0.006625,0.978494,-0.206168,1,12.649653,99.972084,39.988086,37,40,34,37.0,9,49.435716,-0.078264,0.000000,0
89,4.460000,-81.777369,41.066428,0.317291,13.804343,-0.006401,0.002692,0.366189,0.012262,-0.004503,-2.708128,0.000880,0.006472,0.976582,-0.215049,1,12.375244,99.987999,40.034821,22,25,23,23.333333333333332,9,49.433753,-0.079040,0.000000,0
90,4.510000,-82.401790,40.772088,0.317092,13.819389,-0.001116,0.000672,0.380315,0.011901,-0.004598,-2.689574,0.000907,0.006314,0.974545,-0.224099,1,10.623068,99.997223,40.076415,43,43,46,44.0,9,49.429675,-0.081243,0.000000,0
91,4.560000,-83.021006,40.466035,0.316929,13.800697,0.005403,0.007212,0.380415,0.011968,-0.004661,-2.670541,0.000870,0.006362,0.972368,-0.233363,1,11.978941,99.954262,40.060729,31,37,31,33.0,9,49.437491,-0.082123,0.000000,0
92,4.610000,-83.633395,40.148568,0.317090,13.799540,0.004961,0.006303,0.378937,0.012125,-0.004521,-2.651604,0.000722,0.006430,0.970115,-0.242559,1,11.836045,99.795418,39.959232,67,69,75,70.33333333333333,9,49.433141,-0.081509,0.000000,0
93,4.660000,-84.240051,39.819268,0.317132,13.815529,0.003966,0.002471,0.372812,0.012231,-0.004529,-2.632921,0.000653,0.006489,0.967807,-0.251611,2,10.857925,99.956284,39.796786,32,36,31,33.0,9,49.429698,-0.079640,0.000000,0
94,4.710000,-84.841379,39.478405,0.316997,13.823421,0.000641,0.003178,0.372413,0.012196,-0.004671,-2.614347,0.000666,0.006496,0.965428,-0.260588,2,11.759249,99.997551,39.705676,37,38,36,37.0,9,49.433267,-0.079546,0.000000,0
95,4.760000,-85.435349,39.126980,0.317204,13.797397,-0.001487,0.008440,0.374407,0.012018,-0.004523,-2.595800,0.000558,0.006396,0.962971,-0.269529,2,11.765342,99.989082,39.695730,66,64,64,64.66666666666667,9,49.434510,-0.080818,0.000000,0
96,4.810000,-86.022370,38.764760,0.317409,13.796729,0.003155,0.006549,0.382577,0.011934,-0.004384,-2.576915,0.000443,0.006341,0.960383,-0.278610,2,13.163223,99.972000,39.598807,35,40,33,36.0,9,49.433893,-0.082722,0.000000,0
97,4.860000,-86.603568,38.390867,0.317200,13.831581,0.012507,-0.000047,0.391192,0.012284,-0.004567,-2.557516,0.000418,0.006539,0.957634,-0.287912,2,11.986158,99.819916,39.517674,30,34,29,31.0,9,49.433528,-0.083215,0.000000,0
